budget,unique_inputs_tested,discriminatory_instances,idi_ratio,seed
100,100,0,0.0,0
100,100,2,0.02,1
100,100,6,0.06,2
100,100,4,0.04,3
100,100,2,0.02,4
100,100,2,0.02,5
100,100,0,0.0,6
100,100,2,0.02,7
100,100,1,0.01,8
100,100,2,0.02,9
100,100,3,0.03,10
100,100,3,0.03,11
100,100,1,0.01,12
100,100,1,0.01,13
100,100,2,0.02,14
100,100,4,0.04,15
100,100,4,0.04,16
100,100,1,0.01,17
100,100,4,0.04,18
100,100,3,0.03,19
100,100,2,0.02,20
100,100,4,0.04,21
100,100,2,0.02,22
100,100,4,0.04,23
100,100,2,0.02,24
100,100,4,0.04,25
100,100,2,0.02,26
100,100,2,0.02,27
100,100,4,0.04,28
100,100,3,0.03,29
300,300,5,0.016666666666666666,0
300,300,6,0.02,1
300,300,14,0.04666666666666667,2
300,300,9,0.03,3
300,300,5,0.016666666666666666,4
300,300,4,0.013333333333333334,5
300,300,7,0.023333333333333334,6
300,300,5,0.016666666666666666,7
300,300,8,0.02666666666666667,8
300,300,4,0.013333333333333334,9
300,300,8,0.02666666666666667,10
300,300,7,0.023333333333333334,11
300,300,8,0.02666666666666667,12
300,300,6,0.02,13
300,300,8,0.02666666666666667,14
300,300,9,0.03,15
300,300,11,0.03666666666666667,16
300,300,4,0.013333333333333334,17
300,300,8,0.02666666666666667,18
300,300,6,0.02,19
300,300,7,0.023333333333333334,20
300,300,11,0.03666666666666667,21
300,300,10,0.03333333333333333,22
300,300,7,0.023333333333333334,23
300,300,4,0.013333333333333334,24
300,300,9,0.03,25
300,300,8,0.02666666666666667,26
300,300,5,0.016666666666666666,27
300,300,6,0.02,28
300,300,9,0.03,29
500,500,10,0.02,0
500,500,11,0.022,1
500,500,23,0.046,2
500,500,19,0.038,3
500,500,11,0.022,4
500,500,7,0.014,5
500,500,13,0.026,6
500,500,11,0.022,7
500,500,20,0.04,8
500,500,8,0.016,9
500,500,13,0.026,10
500,500,12,0.024,11
500,500,16,0.032,12
500,500,12,0.024,13
500,500,16,0.032,14
500,500,18,0.036,15
500,500,20,0.04,16
500,500,10,0.02,17
500,500,15,0.03,18
500,500,12,0.024,19
500,500,14,0.028,20
500,500,19,0.038,21
500,500,12,0.024,22
500,500,15,0.03,23
500,500,11,0.022,24
500,500,15,0.03,25
500,500,16,0.032,26
500,500,9,0.018,27
500,500,11,0.022,28
500,500,18,0.036,29
1000,1000,23,0.023,0
1000,1000,27,0.027,1
1000,1000,32,0.032,2
1000,1000,33,0.033,3
1000,1000,21,0.021,4
1000,1000,19,0.019,5
1000,1000,28,0.028,6
1000,1000,19,0.019,7
1000,1000,34,0.034,8
1000,1000,22,0.022,9
1000,1000,26,0.026,10
1000,1000,29,0.029,11
1000,1000,24,0.024,12
1000,1000,30,0.03,13
1000,1000,24,0.024,14
1000,1000,31,0.031,15
1000,1000,30,0.03,16
1000,1000,18,0.018,17
1000,1000,24,0.024,18
1000,1000,20,0.02,19
1000,1000,24,0.024,20
1000,1000,28,0.028,21
1000,1000,25,0.025,22
1000,1000,31,0.031,23
1000,1000,26,0.026,24
1000,1000,25,0.025,25
1000,1000,29,0.029,26
1000,1000,26,0.026,27
1000,1000,30,0.03,28
1000,1000,29,0.029,29
